,Title,Type,Year,Engine Size,Hand,Date Added,Price
0,יקאסאוואק Versys 650 ,ישומישוד,2014,650,4,29/10/2019,"24,000₪"
1,יקאסאוואק KX ,סורקוטומ,2009,450,5,29/10/2019,"14,000₪"
2,יקוזוס DL650 םורטס-יו ,ישומישוד,2016,650,2,28/10/2019,"43,500₪"
3,וו.מ.ב רחא ,ישומישוד,2018,300,1,28/10/2019,"32,000₪"
4,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2013,"1,000",1,28/10/2019,"44,000₪"
5,הדנוה CB1000R ,שיבכ/טרופס,2009,"1,000",3,28/10/2019,"28,500₪"
6,ילרה ןוסדיוויד רחא ,םוטסק,2018,"1,200",1,28/10/2019,"75,000₪"
7,יקאסאוואק ZX-10R Ninja ,שיבכ/טרופס,2017,"1,000",1,28/10/2019,"85,000₪"
8,מ.ט.ק EXC 250 ,ישומישוד,2018,250,1,28/10/2019,"42,000₪"
9,ההאמי XTZ660 הרנט ,ישומישוד,2017,700,1,28/10/2019,"43,500₪"
10,הדנוה CBR250R ,ישומישוד,2012,250,3,28/10/2019,"8,000₪"
11,יקאסאוואק EN500 ,םוטסק,2005,500,4,28/10/2019,"16,000₪"
12,יטאקוד דראטומרפיה 821 ,שיבכ/טרופס,2015,850,2,28/10/2019,"39,900₪"
13,ההאמי WR250F ,סורקוטומ,2010,250,5,28/10/2019,"24,000₪"
14,וקרש SE 125 2T Racing ,סורקוטומ,2019,125,1,28/10/2019,"43,999₪"
15,יטאקוד 1098 ,שיבכ/טרופס,2010,"1,100",4,28/10/2019,None
16,יקאסאוואק Z800R ,שיבכ/טרופס,2016,800,3,28/10/2019,"30,000₪"
17,יקוזוס DRZ400S ,ישומישוד,2016,400,4,28/10/2019,"26,500₪"
18,יקאסאוואק Versys 1000 ,שיבכ/טרופס,2018,"1,000",1,28/10/2019,None
19,מ.ט.ק ר'צנוודא 1190 ,ישומישוד,2014,"1,200",2,28/10/2019,"61,000₪"
20,יקאסאוואק Z900 ,שיבכ/טרופס,2018,900,0,29/10/2019,"59,999₪"
21,יקאסאוואק KX ,סורקוטומ,2019,450,0,29/10/2019,"32,000₪"
22,ההאמי WR125R ,ישומישוד,2015,125,5,29/10/2019,"13,500₪"
23,יקאסאוואק Z300 ,שיבכ/טרופס,2015,300,2,29/10/2019,"17,500₪"
24,ההאמי MT 09 ,שיבכ/טרופס,2015,850,3,29/10/2019,None
25,מ.ט.ק קויד 250 ,שיבכ/טרופס,2019,250,2,29/10/2019,"17,999₪"
26,יקאסאוואק KLX250S ,ישומישוד,2017,250,1,29/10/2019,"19,900₪"
27,ההאמי MT 09 TRACER ,שיבכ/טרופס,2019,900,0,29/10/2019,"79,985₪"
28,ההאמי MT-10 ,שיבכ/טרופס,2019,"1,000",0,29/10/2019,"95,985₪"
29,יטאקוד רטסנומ 1200 ,שיבכ/טרופס,2015,"1,200",3,29/10/2019,None
30,יקאסאוואק Z900 ,שיבכ/טרופס,2019,900,0,29/10/2019,"59,985₪"
31,הדנוה CRF1000L הקירפא ןיווט ,שיבכ/טרופס,2019,"1,000",1,29/10/2019,"87,000₪"
32,הילירפא רביש 900 ,שיבכ/טרופס,2018,900,1,29/10/2019,"57,500₪"
33,ההאמי MT 09 TRACER ,שיבכ/טרופס,2015,900,1,29/10/2019,"43,600₪"
34,הדנוה CB1000R ,שיבכ/טרופס,2015,"1,000",2,29/10/2019,"51,000₪"
